run,app,profile,timestamp,issue_count,initialTTVF,TTVF
1,local-first,Fiber FTTC,2025-06-13T13:54:59.970Z,10,812.5089699999999,54.34727500000008
1,local-first,4G,2025-06-13T13:55:05.331Z,10,1314.8719490000003,49.75761799999964
1,local-first,3G,2025-06-13T13:55:18.662Z,10,1815.6071520000005,48.87735700000121
1,local-first,Fiber FTTC,2025-06-13T13:55:22.897Z,50,1815.8786149999978,49.84957100000247
1,local-first,4G,2025-06-13T13:55:28.698Z,50,1816.7786909999995,51.63751400000183
1,local-first,3G,2025-06-13T13:55:39.596Z,50,2316.8284639999983,51.273064000000886
1,local-first,Fiber FTTC,2025-06-13T13:55:51.338Z,250,6328.342455000005,59.50877699999546
1,local-first,4G,2025-06-13T13:56:02.189Z,250,6833.583523999994,61.763560999999754
1,local-first,3G,2025-06-13T13:56:21.089Z,250,7333.597536000001,61.98251600000367
2,local-first,Fiber FTTC,2025-06-13T13:56:24.327Z,10,810.8957519999967,50.90684399999736
2,local-first,4G,2025-06-13T13:56:29.609Z,10,1311.5636879999947,50.01401800000167
2,local-first,3G,2025-06-13T13:56:40.009Z,10,1814.2223490000033,50.94958299999416
2,local-first,Fiber FTTC,2025-06-13T13:56:44.244Z,50,1818.6670920000033,51.08649500001047
2,local-first,4G,2025-06-13T13:56:50.025Z,50,1815.6291740000015,50.898311000011745
2,local-first,3G,2025-06-13T13:57:03.842Z,50,2316.7547780000023,50.18479899999511
2,local-first,Fiber FTTC,2025-06-13T13:57:12.637Z,250,6330.134735,61.93687900000077
2,local-first,4G,2025-06-13T13:57:22.991Z,250,6326.452046999984,67.23425999999745
2,local-first,3G,2025-06-13T13:57:41.382Z,250,6825.047017000004,57.89360700000543
3,local-first,Fiber FTTC,2025-06-13T13:57:44.623Z,10,813.7395459999971,50.93516700001783
3,local-first,4G,2025-06-13T13:57:49.906Z,10,1312.9107310000109,50.845295000006445
3,local-first,3G,2025-06-13T13:58:00.290Z,10,1813.733877999999,50.99592000001576
