run,app,profile,timestamp,TTVF
1,local-first,Fiber FTTC,2025-06-11T19:56:29.794Z,32.48079299999972
1,local-first,4G,2025-06-11T19:56:35.738Z,33.2151759999997
1,local-first,3G,2025-06-11T19:57:04.377Z,32.96046700000443
1,local-first,offline,2025-06-11T19:57:07.757Z,31.296979999999166
2,local-first,Fiber FTTC,2025-06-11T19:57:11.832Z,32.86930500000017
2,local-first,4G,2025-06-11T19:57:17.568Z,32.63840799999889
2,local-first,3G,2025-06-11T19:57:46.088Z,33.13817000000563
2,local-first,offline,2025-06-11T19:57:49.666Z,31.53082899999572
3,local-first,Fiber FTTC,2025-06-11T19:57:53.388Z,31.83106399999815
3,local-first,4G,2025-06-11T19:58:02.773Z,32.52281199999561
3,local-first,3G,2025-06-11T19:58:27.775Z,33.570068999993964
3,local-first,offline,2025-06-11T19:58:30.665Z,32.9453829999984
4,local-first,Fiber FTTC,2025-06-11T19:58:37.844Z,32.88196600000083
4,local-first,4G,2025-06-11T19:58:42.524Z,33.38424899999518
4,local-first,3G,2025-06-11T19:59:11.515Z,33.03113799999119
4,local-first,offline,2025-06-11T19:59:14.966Z,32.295807000016794
5,local-first,Fiber FTTC,2025-06-11T19:59:19.035Z,32.216104000021005
5,local-first,4G,2025-06-11T19:59:24.798Z,32.63245000000461
5,local-first,3G,2025-06-11T19:59:53.345Z,32.68336699999054
5,local-first,offline,2025-06-11T19:59:56.782Z,31.418947999976808
1,cloud,Fiber FTTC,2025-06-11T20:00:05.291Z,1806.3621940000157
1,cloud,4G,2025-06-11T20:00:12.048Z,1321.3492850000039
1,cloud,3G,2025-06-11T20:00:45.472Z,3313.942557000002
2,cloud,Fiber FTTC,2025-06-11T20:00:51.521Z,1308.6225369999884
2,cloud,4G,2025-06-11T20:00:58.300Z,1309.6206320000056
2,cloud,3G,2025-06-11T20:01:31.708Z,3313.774325000006
3,cloud,Fiber FTTC,2025-06-11T20:01:37.655Z,1308.5299989999621
3,cloud,4G,2025-06-11T20:01:44.554Z,1309.4933450000244
3,cloud,3G,2025-06-11T20:02:17.997Z,3313.5093769999803
4,cloud,Fiber FTTC,2025-06-11T20:02:27.679Z,1309.1221780000487
4,cloud,4G,2025-06-11T20:02:34.445Z,1308.5079870000482
4,cloud,3G,2025-06-11T20:03:08.119Z,3316.252671000024
5,cloud,Fiber FTTC,2025-06-11T20:03:14.268Z,1311.3511709999875
5,cloud,4G,2025-06-11T20:03:20.958Z,1305.079703000025
5,cloud,3G,2025-06-11T20:03:54.470Z,3314.804797000019
