run,app,profile,timestamp,syncInterval,GET,POST,PATCH,PEAK_TTV,LOW_TTV
1,local-first,Fiber FTTC,2025-06-12T21:24:55.685Z,60,10,5,5,205.59176100000332,29.504203000004054
2,local-first,Fiber FTTC,2025-06-12T21:43:36.075Z,60,9,5,5,205.3077609999964,31.81256900000153
3,local-first,Fiber FTTC,2025-06-12T21:51:32.054Z,60,9,5,5,209.9972400000006,31.73682999999437
4,local-first,Fiber FTTC,2025-06-12T21:59:25.928Z,60,10,5,5,105.21643400000175,28.72412099999201
5,local-first,Fiber FTTC,2025-06-12T22:07:22.375Z,60,10,5,5,124.10235400000056,31.698773000010988
1,cloud,Fiber FTTC,2025-06-12T22:14:13.429Z,60,33,5,5,1818.7210429999977,1307.1226770000067
2,cloud,Fiber FTTC,2025-06-12T22:21:04.197Z,60,33,5,5,1818.7570330000017,1311.337227000011
3,cloud,Fiber FTTC,2025-06-12T22:27:56.563Z,60,33,5,5,1823.4365160000007,1308.6187870000003
4,cloud,Fiber FTTC,2025-06-12T22:34:45.736Z,60,33,5,5,1821.430354000011,1313.0582730000024
5,cloud,Fiber FTTC,2025-06-12T22:41:34.362Z,60,33,5,5,1828.1709719999926,1308.164922
