run,app,profile,timestamp,syncInterval,GET,POST,PATCH
1,local-first,no,2025-06-15T11:42:12.394Z,60,5,0,5
2,local-first,no,2025-06-15T11:48:37.939Z,60,5,0,5
3,local-first,no,2025-06-15T11:55:03.013Z,60,6,0,6
4,local-first,no,2025-06-15T12:01:28.708Z,60,5,0,5
5,local-first,no,2025-06-15T12:07:53.510Z,60,5,0,5
1,cloud,no,2025-06-15T12:13:07.634Z,60,83,0,20
2,cloud,no,2025-06-15T12:18:21.705Z,60,83,0,20
3,cloud,no,2025-06-15T12:23:35.830Z,60,83,0,20
4,cloud,no,2025-06-15T12:28:52.889Z,60,83,0,20
5,cloud,no,2025-06-15T12:34:09.765Z,60,83,0,20
1,local-first,no,2025-06-15T12:41:10.476Z,30,10,0,10
2,local-first,no,2025-06-15T12:47:02.018Z,30,10,0,10
3,local-first,no,2025-06-15T12:52:53.724Z,30,10,0,10
4,local-first,no,2025-06-15T12:58:45.515Z,30,10,0,10
5,local-first,no,2025-06-15T13:04:35.613Z,30,10,0,10
