timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749862028547,3465,4,8.96
1749862029047,3965,6,5.84
1749862029547,4465,6,1.52
1749862030047,4965,6,1.95
1749862034133,9051,7,5.31
1749862034633,9551,6,2.85
1749862035133,10051,7,3.22
1749862035634,10552,8,1.85
1749862036134,11052,7,2.80
1749862036634,11552,7,1.04
1749862037134,12052,7,1.03
1749862037635,12553,7,1.07
1749862038134,13052,7,1.00
1749862038634,13552,7,1.03
1749862039134,14052,7,1.06
1749862039634,14552,7,1.05
1749862040135,15053,7,1.06
1749862040634,15552,7,1.00
1749862041134,16052,7,1.05
1749862041634,16552,7,1.03
1749862042134,17052,7,1.03
1749862042634,17552,7,1.02
1749862043134,18052,7,1.01
1749862043634,18552,7,0.99
1749862044134,19052,7,0.99
1749862044634,19552,7,1.00
1749862045134,20052,7,1.04
1749862045634,20552,7,1.02
1749862046134,21052,7,1.03
1749862046634,21552,7,0.99
1749862047134,22052,7,0.98
1749862047634,22552,7,0.99
1749862048135,23053,7,1.02
1749862048635,23553,7,1.01
1749862049135,24053,7,0.98
1749862049635,24553,7,1.04
1749862050134,25052,7,0.97
1749862050634,25552,7,1.00
1749862051134,26052,7,1.00
1749862051635,26553,7,0.93
1749862052134,27052,7,1.02
1749862052634,27552,7,1.00
1749862053134,28052,7,0.91
1749862053634,28552,7,0.92
1749862054134,29052,7,0.92
1749862054635,29553,7,1.00
1749862055135,30053,7,0.97
1749862055634,30552,7,0.90
1749862056135,31053,7,0.91
1749862056635,31553,7,0.89
1749862057134,32052,7,0.95
1749862057634,32552,7,0.98
1749862058134,33052,7,0.98
1749862058634,33552,7,0.99
1749862059134,34052,7,0.97
1749862059634,34552,4,2.09
1749862060134,35052,4,1.63
1749862060634,35552,4,0.92
1749862061134,36052,4,0.93
1749862061634,36552,4,0.94
1749862062134,37052,4,0.98
1749862062634,37552,4,1.00
1749862063134,38052,4,1.01
1749862063634,38552,4,1.02
1749862064134,39052,4,1.01
1749862064634,39552,4,1.00
1749862065134,40052,4,0.96
1749862065634,40552,4,0.97
1749862066135,41053,4,0.98
1749862070219,45137,4,0.94
1749862070719,45637,4,0.96
1749862071218,46136,4,0.99
1749862071718,46636,4,1.00
1749862072219,47137,4,1.00
1749862072720,47638,4,0.99
1749862073220,48138,4,0.98
1749862073720,48638,4,1.00
1749862074220,49138,4,1.00
1749862074720,49638,4,1.00
1749862075219,50137,4,0.98
1749862075720,50638,4,1.02
1749862076219,51137,4,1.01
1749862076720,51638,4,1.01
1749862077221,52139,4,0.97
1749862077721,52639,4,0.98
1749862078221,53139,4,0.94
1749862078720,53638,4,0.96
1749862079221,54139,4,0.95
1749862079722,54640,4,0.97
1749862080222,55140,4,0.97
1749862080722,55640,4,1.00
1749862081222,56140,4,0.95
1749862081722,56640,4,0.94
1749862082222,57140,4,0.98
1749862082722,57640,4,0.99
1749862083222,58140,4,1.00
1749862083721,58639,4,1.00
1749862084222,59140,4,1.01
1749862084723,59641,4,1.03
1749862085223,60141,4,1.02
1749862085723,60641,4,1.05
1749862086223,61141,4,1.00
1749862086723,61641,4,1.04
1749862087223,62141,4,0.99
1749862087723,62641,4,1.01
1749862088223,63141,4,0.99
1749862088722,63640,4,0.97
1749862089223,64141,4,0.99
1749862089723,64641,4,0.98
1749862090223,65141,4,0.99
1749862090723,65641,4,0.98
1749862091223,66141,4,0.98
1749862091722,66640,4,0.98
1749862092223,67141,4,1.00
1749862092723,67641,5,3.46
1749862093224,68142,5,1.39
1749862093724,68642,5,2.06
1749862094224,69142,6,6.10
1749862094723,69641,7,2.71
1749862095224,70142,7,1.79
1749862095724,70642,7,2.56
1749862096223,71141,6,1.25
1749862096724,71642,6,1.16
1749862097224,72142,6,0.95
1749862097724,72642,6,1.00
1749862098224,73142,6,1.02
1749862098724,73642,6,1.02
1749862099224,74142,6,1.02
1749862099723,74641,6,1.00
1749862100224,75142,6,1.02
1749862100724,75642,6,1.13
1749862101224,76142,6,1.00
1749862101724,76642,6,1.00
1749862105808,80726,6,0.96
1749862106309,81227,6,0.95
1749862106808,81726,6,0.95
1749862107308,82226,6,0.97
1749862107808,82726,6,0.96
1749862108308,83226,6,1.06
1749862108809,83727,6,0.93
1749862109309,84227,6,0.96
1749862109808,84726,6,0.93
1749862110308,85226,6,0.93
1749862110808,85726,6,0.94
1749862111309,86227,6,0.95
1749862111809,86727,6,0.95
1749862112309,87227,6,1.01
1749862112808,87726,6,0.96
1749862113308,88226,6,0.92
1749862113808,88726,6,0.91
1749862114308,89226,6,0.96
1749862114808,89726,6,0.96
1749862115308,90226,6,0.98
1749862115808,90726,6,0.95
1749862116308,91226,6,1.00
1749862116809,91727,6,0.92
1749862117309,92227,6,0.96
1749862117808,92726,6,0.97
1749862118308,93226,6,0.99
1749862118808,93726,6,0.96
1749862119308,94226,6,1.01
1749862119808,94726,6,0.93
1749862120308,95226,6,1.03
1749862120808,95726,6,0.97
1749862121308,96226,6,0.94
1749862121808,96726,6,0.91
1749862122309,97227,6,0.92
1749862122810,97728,6,0.95
1749862123310,98228,6,0.90
1749862123810,98728,6,0.91
1749862124311,99229,7,0.96
1749862124810,99728,7,0.90
1749862125310,100228,7,0.96
1749862125810,100728,7,0.90
1749862126310,101228,7,0.92
1749862126811,101729,7,0.91
1749862127311,102229,7,0.95
1749862127810,102728,4,1.91
1749862128310,103228,4,1.14
1749862128810,103728,4,1.57
1749862129310,104228,4,0.98
1749862129811,104729,4,1.01
1749862130311,105229,4,0.96
1749862130811,105729,4,0.91
1749862131311,106229,4,0.95
1749862131811,106729,4,0.95
1749862132311,107229,4,1.12
1749862132811,107729,4,0.98
1749862133312,108230,4,0.98
1749862133811,108729,4,1.46
1749862134311,109229,4,0.97
1749862134811,109729,4,0.95
1749862135311,110229,4,0.94
1749862135811,110729,4,0.94
1749862136312,111230,4,0.98
1749862136811,111729,4,0.92
1749862137311,112229,4,0.96
1749862137811,112729,4,0.95
1749862141897,116815,4,0.98
1749862142397,117315,4,0.98
1749862142897,117815,4,0.97
1749862143397,118315,4,0.97
1749862143898,118816,4,0.99
1749862144398,119316,4,0.98
1749862144898,119816,4,0.98
1749862145397,120315,4,0.97
1749862145898,120816,4,0.96
1749862146397,121315,4,0.93
1749862146897,121815,4,0.93
1749862147397,122315,4,0.95
1749862147898,122816,4,1.02
1749862148397,123315,4,0.99
1749862148897,123815,4,0.97
1749862149398,124316,4,0.99
1749862149898,124816,4,0.99
1749862150398,125316,4,0.96
1749862150898,125816,4,0.96
1749862151398,126316,4,0.95
1749862151897,126815,4,0.99
1749862152397,127315,4,0.97
1749862152898,127816,4,0.99
1749862153398,128316,4,0.97
1749862153897,128815,4,0.96
1749862154397,129315,4,0.96
1749862154897,129815,4,0.96
1749862155397,130315,4,0.93
1749862155897,130815,4,0.98
1749862156398,131316,5,3.66
1749862156897,131815,5,1.12
1749862157398,132316,5,2.06
1749862157897,132815,6,6.56
1749862158398,133316,7,2.70
1749862158898,133816,7,1.85
1749862159398,134316,8,2.64
1749862159897,134815,7,1.36
1749862160397,135315,7,1.01
1749862160897,135815,7,0.99
1749862161397,136315,7,0.98
1749862161897,136815,7,0.96
1749862162398,137316,7,0.97
1749862162898,137816,7,0.95
1749862163397,138315,7,0.99
1749862163897,138815,7,1.10
1749862164397,139315,7,1.00
1749862164897,139815,7,1.01
1749862165397,140315,7,0.97
1749862165898,140816,7,0.96
1749862166398,141316,7,0.99
1749862166899,141817,7,0.94
1749862167399,142317,7,0.97
1749862167899,142817,7,1.04
1749862168399,143317,7,0.93
1749862168899,143817,7,0.91
1749862169399,144317,7,0.92
1749862169898,144816,7,0.93
1749862170399,145317,7,0.92
1749862170899,145817,7,0.93
1749862171398,146316,7,0.98
1749862171898,146816,7,0.95
1749862172399,147317,7,0.92
1749862172898,147816,7,0.93
1749862173399,148317,7,0.94
1749862177483,152401,7,0.96
1749862177983,152901,7,0.89
1749862178484,153402,7,0.93
1749862178984,153902,7,1.00
1749862179484,154402,7,1.01
1749862179984,154902,7,0.90
1749862180484,155402,7,0.93
1749862180984,155902,7,0.97
1749862181484,156402,7,0.96
1749862181984,156902,7,0.93
1749862182484,157402,7,0.95
1749862182984,157902,7,0.96
1749862183484,158402,7,0.98
1749862183984,158902,7,0.99
1749862184484,159402,7,0.97
1749862184984,159902,7,0.99
1749862185484,160402,7,0.97
1749862185984,160902,7,0.97
1749862186484,161402,7,0.98
1749862186984,161902,7,0.98
1749862187484,162402,7,1.01
1749862187984,162902,7,0.96
1749862188484,163402,7,0.97
1749862188984,163902,7,0.99
1749862189484,164402,7,0.94
1749862189984,164902,7,0.96
1749862190484,165402,7,0.98
1749862190984,165902,7,0.97
1749862191484,166402,4,2.07
1749862191984,166902,4,1.58
1749862192484,167402,4,0.97
1749862192984,167902,4,0.97
1749862193484,168402,4,0.94
1749862193983,168901,4,0.97
1749862194484,169402,4,0.96
1749862194984,169902,4,0.96
1749862195484,170402,4,1.07
1749862195984,170902,4,0.97
1749862196484,171402,4,0.95
1749862196984,171902,4,1.00
1749862197484,172402,4,0.96
1749862197984,172902,4,0.97
1749862198484,173402,4,0.95
1749862198984,173902,4,1.00
1749862199484,174402,4,1.02
1749862199984,174902,4,0.98
1749862200484,175402,4,0.98
1749862200984,175902,4,0.96
1749862201484,176402,4,0.95
1749862201985,176903,4,0.98
1749862202486,177404,4,0.96
1749862202985,177903,4,0.97
1749862203485,178403,4,1.03
1749862203985,178903,4,0.98
1749862204485,179403,4,0.99
1749862204985,179903,4,0.98
1749862205486,180404,4,0.97
1749862205986,180904,4,0.99
1749862206486,181404,4,0.97
1749862206986,181904,4,0.97
1749862207486,182404,4,1.00
1749862207986,182904,4,0.98
1749862208486,183404,4,0.96
1749862208986,183904,4,1.01
1749862209486,184404,4,0.98
1749862213571,188489,4,0.97
1749862214072,188990,4,0.97
1749862214572,189490,4,0.98
1749862215072,189990,4,1.02
1749862215572,190490,4,0.93
1749862216072,190990,5,3.02
1749862216572,191490,5,1.67
1749862217072,191990,5,1.37
1749862217572,192490,5,2.19
1749862218072,192990,6,5.99
1749862218573,193491,7,2.95
1749862219072,193990,7,1.73
1749862219572,194490,6,2.86
1749862220073,194991,7,1.20
1749862220573,195491,7,1.01
1749862221072,195990,7,0.98
1749862221572,196490,7,0.98
1749862222072,196990,7,1.00
1749862222572,197490,7,0.98
1749862223073,197991,7,1.10
1749862223574,198492,7,0.99
1749862224073,198991,7,0.98
1749862224573,199491,7,0.98
1749862225074,199992,7,0.93
1749862225574,200492,7,0.95
1749862226073,200991,7,0.92
1749862226573,201491,7,0.95
1749862227073,201991,7,0.98
1749862227573,202491,7,1.01
1749862228073,202991,7,0.98
1749862228573,203491,7,0.97
1749862229073,203991,7,0.93
1749862229574,204492,7,0.96
1749862230075,204993,7,0.97
1749862230575,205493,7,0.96
1749862231074,205992,7,0.97
1749862231574,206492,7,1.05
1749862232074,206992,7,0.96
1749862232574,207492,7,0.97
1749862233074,207992,7,0.96
1749862233574,208492,7,0.98
1749862234074,208992,7,0.96
1749862234574,209492,7,0.94
1749862235074,209992,7,0.93
1749862235574,210492,7,1.01
1749862236075,210993,7,0.94
1749862236574,211492,7,0.93
1749862237075,211993,7,0.95
1749862237576,212494,7,0.95
1749862238075,212993,7,0.92
1749862238575,213493,7,0.94
1749862239075,213993,7,0.96
1749862239575,214493,7,1.04
1749862240076,214994,7,0.96
1749862240576,215494,7,0.97
1749862241076,215994,7,0.96
1749862241577,216495,7,0.97
1749862242077,216995,7,0.94
1749862242576,217494,7,0.95
1749862243076,217994,7,0.94
1749862243577,218495,7,1.03
1749862244077,218995,7,0.96
1749862244576,219494,7,1.00
1749862245076,219994,7,0.96
1749862249161,224079,7,0.96
1749862249660,224578,7,0.96
1749862250161,225079,7,0.96
1749862250661,225579,7,0.97
1749862251161,226079,7,1.01
1749862251661,226579,4,1.93
1749862252161,227079,4,1.48
1749862252661,227579,4,0.95
1749862253161,228079,4,0.93
1749862253661,228579,4,0.98
1749862254161,229079,4,0.97
1749862254661,229579,4,0.95
1749862255161,230079,4,1.14
1749862255661,230579,4,0.98
1749862256161,231079,4,0.98
1749862256661,231579,4,0.96
1749862257161,232079,4,0.96
1749862257661,232579,4,0.98
1749862258161,233079,4,0.98
1749862258661,233579,4,0.97
1749862259161,234079,4,1.08
1749862259661,234579,4,0.95
1749862260160,235078,4,0.92
1749862260661,235579,4,0.89
1749862261161,236079,4,0.93
1749862261661,236579,4,0.95
1749862262161,237079,4,0.95
1749862262661,237579,4,0.94
1749862263161,238079,4,0.97
1749862263661,238579,4,0.89
1749862264160,239078,4,0.98
1749862264661,239579,4,0.95
1749862265161,240079,4,0.98
1749862265661,240579,4,0.95
1749862266161,241079,4,0.95
1749862266660,241578,4,0.96
1749862267161,242079,4,1.00
1749862267661,242579,4,0.97
1749862268161,243079,4,0.95
1749862268661,243579,4,0.99
1749862269161,244079,4,0.99
1749862269661,244579,4,0.99
1749862270162,245080,4,1.00
1749862270662,245580,4,1.00
1749862271162,246080,4,1.06
1749862271662,246580,4,1.03
