timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749942616809,3011,5,2.65
1749942617309,3511,6,4.38
1749942617809,4011,6,1.67
1749942618309,4511,7,2.40
1749942618810,5012,7,8.21
1749942619309,5511,7,1.05
1749942619809,6011,7,1.06
1749942620309,6511,7,1.10
1749942620809,7011,7,1.06
1749942621309,7511,7,1.12
1749942621809,8011,7,1.08
1749942622310,8512,7,1.05
1749942622809,9011,7,1.02
1749942623309,9511,7,1.01
1749942626743,12945,7,1.01
1749942627243,13445,7,1.03
1749942627743,13945,8,0.97
1749942628243,14445,8,0.99
1749942628743,14945,8,1.09
1749942629243,15445,6,1.11
1749942629743,15945,6,1.18
1749942630243,16445,6,0.93
1749942630743,16945,6,0.98
1749942631243,17445,6,1.01
1749942631743,17945,6,1.00
1749942632244,18446,6,1.00
1749942632745,18947,6,1.04
1749942633245,19447,6,0.98
1749942633745,19947,7,6.74
1749942634244,20446,7,0.98
1749942634744,20946,7,0.95
1749942635244,21446,7,0.97
1749942635745,21947,7,0.92
1749942636245,22447,7,0.98
1749942636745,22947,7,1.23
1749942637245,23447,7,1.00
1749942637744,23946,7,0.97
1749942638245,24447,7,0.99
1749942638745,24947,7,0.94
1749942639246,25448,7,1.05
1749942639745,25947,7,0.93
1749942640245,26447,7,0.95
1749942640745,26947,7,0.99
1749942641246,27448,7,1.01
1749942641746,27948,7,0.95
1749942642247,28449,7,0.94
1749942642746,28948,7,6.86
1749942643247,29449,7,0.99
1749942643747,29949,7,1.14
1749942644247,30449,7,1.11
1749942644747,30949,7,1.01
1749942645247,31449,7,1.01
1749942645747,31949,7,1.00
1749942646247,32449,8,1.02
1749942646746,32948,8,0.98
1749942647247,33449,5,2.27
1749942647747,33949,5,1.85
1749942648246,34448,5,1.31
1749942648747,34949,6,1.60
1749942649247,35449,5,1.63
1749942649747,35949,6,1.36
1749942650247,36449,6,1.60
1749942650747,36949,6,1.35
1749942651247,37449,6,1.29
1749942651747,37949,6,1.14
1749942652246,38448,6,1.07
1749942652747,38949,5,1.12
1749942653247,39449,6,1.14
1749942653747,39949,6,1.68
1749942654247,40449,6,0.91
1749942654746,40948,7,6.88
1749942655246,41448,6,1.12
1749942655747,41949,6,0.97
1749942656248,42450,6,0.97
1749942656747,42949,6,0.93
1749942657247,43449,6,1.02
1749942657748,43950,6,0.98
1749942658247,44449,7,0.95
1749942661681,47883,7,0.97
1749942662181,48383,7,0.96
1749942662682,48884,7,0.98
1749942663182,49384,7,0.97
1749942663682,49884,7,1.01
1749942664182,50384,7,1.02
1749942664681,50883,7,0.98
1749942665182,51384,7,0.99
1749942665682,51884,7,1.02
1749942666183,52385,7,1.03
1749942666683,52885,7,1.01
1749942667183,53385,7,1.00
1749942667683,53885,7,1.13
1749942668183,54385,7,1.09
1749942668683,54885,7,1.10
1749942669183,55385,7,1.04
1749942669682,55884,7,6.96
1749942670182,56384,7,0.99
1749942670682,56884,7,1.06
1749942671182,57384,7,1.01
1749942671683,57885,7,1.07
1749942672183,58385,7,0.99
1749942672683,58885,7,1.00
1749942673182,59384,7,0.99
1749942673682,59884,7,1.03
1749942674182,60384,7,0.98
1749942674683,60885,7,0.96
1749942675182,61384,8,0.99
1749942675683,61885,8,0.94
1749942676183,62385,8,1.01
1749942676683,62885,8,0.98
1749942677183,63385,8,1.01
1749942677683,63885,8,1.00
1749942678182,64384,8,1.03
1749942678682,64884,6,6.11
1749942679183,65385,6,2.44
1749942679683,65885,6,1.19
1749942680183,66385,6,0.97
1749942680682,66884,6,1.02
1749942681183,67385,6,0.98
1749942681683,67885,6,1.10
1749942682183,68385,6,1.06
1749942682683,68885,6,0.97
1749942683182,69384,6,0.95
1749942683682,69884,6,1.13
1749942684183,70385,6,0.92
1749942684683,70885,6,0.95
1749942685183,71385,6,0.94
1749942685682,71884,6,0.90
1749942686183,72385,6,0.94
1749942686683,72885,6,0.94
1749942687182,73384,7,0.95
1749942687683,73885,7,1.04
1749942688182,74384,7,1.02
1749942688682,74884,7,1.00
1749942689183,75385,7,1.05
1749942689682,75884,7,0.97
1749942690182,76384,7,0.98
1749942690682,76884,7,5.08
1749942691183,77385,7,2.39
1749942691683,77885,7,0.97
1749942692182,78384,7,1.71
1749942692682,78884,7,1.56
1749942693182,79384,8,1.42
1749942693683,79885,7,1.37
1749942697116,83318,7,1.48
1749942697616,83818,8,1.36
1749942698116,84318,8,1.37
1749942698616,84818,7,1.72
1749942699116,85318,8,1.11
1749942699616,85818,8,0.97
1749942700115,86317,8,0.95
1749942700616,86818,8,1.00
1749942701116,87318,8,0.99
1749942701616,87818,8,0.97
1749942702116,88318,8,0.96
1749942702616,88818,8,0.95
1749942703116,89318,8,1.09
1749942703616,89818,8,0.96
1749942704116,90318,8,0.91
1749942704616,90818,8,1.10
1749942705116,91318,8,0.92
1749942705615,91817,7,6.36
1749942706116,92318,6,2.66
1749942706616,92818,7,0.97
