timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749766051916,3543,4,11.76
1749766052417,4044,5,6.50
1749766052917,4544,6,2.66
1749766053416,5043,6,1.08
1749766053917,5544,8,3.39
1749766054416,6043,9,6.84
1749766054916,6543,10,2.09
1749766055416,7043,10,1.90
1749766055916,7543,10,1.80
1749766056417,8044,10,4.30
1749766056917,8544,10,1.01
1749766060350,11977,10,0.96
1749766060850,12477,10,0.96
1749766061349,12976,10,0.97
1749766061850,13477,10,0.95
1749766062350,13977,10,0.96
1749766062850,14477,10,0.95
1749766063350,14977,10,1.03
1749766063851,15478,10,0.98
1749766064351,15978,10,0.93
1749766064853,16480,10,0.88
1749766065352,16979,10,0.93
1749766065853,17480,10,0.90
1749766066352,17979,10,0.90
1749766066852,18479,10,0.91
1749766067351,18978,10,0.93
1749766067852,19479,10,0.89
1749766068352,19979,10,0.89
1749766068852,20479,10,0.90
1749766069352,20979,10,0.93
1749766069853,21480,10,0.92
1749766070353,21980,10,0.92
1749766070854,22481,10,0.93
1749766071353,22980,10,0.93
1749766071853,23480,10,0.93
1749766072353,23980,10,0.93
1749766072853,24480,10,0.86
1749766073353,24980,10,0.92
1749766073852,25479,10,0.91
1749766074353,25980,10,0.94
1749766074853,26480,10,0.94
1749766075353,26980,10,0.93
1749766075853,27480,10,0.87
1749766076352,27979,10,0.92
1749766076853,28480,10,0.92
1749766077353,28980,10,0.91
1749766077853,29480,10,0.93
1749766078353,29980,10,0.93
1749766078854,30481,10,0.92
1749766079354,30981,10,0.92
1749766079855,31482,10,0.92
1749766080355,31982,10,0.91
1749766080854,32481,10,0.90
1749766081355,32982,10,0.90
1749766081855,33482,10,0.94
1749766082355,33982,4,2.97
1749766082854,34481,4,1.74
1749766083355,34982,4,0.98
1749766083855,35482,4,0.95
1749766084355,35982,4,0.94
1749766084855,36482,4,0.95
1749766085355,36982,4,0.93
1749766085855,37482,4,0.96
1749766086355,37982,4,0.95
1749766086855,38482,4,0.92
1749766087355,38982,4,1.03
1749766087855,39482,4,0.89
1749766088355,39982,4,0.84
1749766088855,40482,4,0.93
1749766089355,40982,4,0.87
1749766089855,41482,4,0.93
1749766090355,41982,4,0.87
1749766090855,42482,4,0.94
1749766091355,42982,4,0.91
1749766091855,43482,4,1.09
1749766095288,46915,4,0.91
1749766095789,47416,4,0.90
1749766096288,47915,4,0.89
1749766096789,48416,4,0.99
1749766097289,48916,4,0.92
1749766097789,49416,4,0.91
1749766098289,49916,4,0.91
1749766098789,50416,4,1.03
1749766099289,50916,4,0.92
1749766099789,51416,4,0.85
1749766100289,51916,4,0.87
1749766100789,52416,4,0.89
1749766101289,52916,4,0.83
1749766101790,53417,4,0.90
1749766102289,53916,4,0.88
1749766102789,54416,4,1.14
1749766103289,54916,4,0.90
1749766103789,55416,4,0.97
1749766104290,55917,4,0.88
1749766104789,56416,4,0.91
1749766105289,56916,4,0.95
1749766105788,57415,4,0.93
1749766106289,57916,4,0.91
1749766106789,58416,4,0.92
1749766107289,58916,4,0.91
1749766107789,59416,4,0.94
1749766108289,59916,4,0.94
1749766108789,60416,4,0.93
