timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749865388777,3466,4,8.75
1749865389277,3966,6,5.93
1749865389778,4467,5,1.61
1749865390277,4966,6,1.88
1749865390799,5488,6,5.06
1749865391278,5967,6,1.98
1749865391778,6467,7,3.55
1749865392278,6967,7,1.72
1749865392777,7466,8,2.54
1749865393277,7966,8,1.00
1749865393777,8466,8,0.96
1749865394278,8967,8,0.96
1749865394778,9467,8,0.97
1749865395278,9967,8,0.98
1749865395778,10467,8,0.99
1749865396278,10967,8,0.98
1749865396778,11467,8,0.95
1749865397278,11967,8,0.96
1749865397778,12467,8,1.00
1749865398278,12967,8,0.96
1749865398778,13467,8,0.95
1749865402865,17554,8,0.89
1749865403365,18054,8,0.91
1749865403866,18555,8,0.91
1749865404365,19054,8,0.90
1749865404865,19554,8,0.92
1749865405365,20054,8,1.02
1749865405865,20554,8,0.85
1749865406365,21054,8,0.93
1749865406865,21554,8,0.86
1749865407365,22054,8,0.89
1749865407865,22554,8,0.92
1749865408365,23054,8,0.94
1749865408865,23554,8,0.92
1749865409366,24055,8,0.90
1749865409865,24554,8,0.94
1749865410365,25054,8,0.91
1749865410866,25555,8,0.94
1749865411366,26055,8,0.88
1749865411865,26554,8,0.91
1749865412365,27054,8,0.93
1749865412865,27554,8,0.92
1749865413365,28054,8,0.91
1749865413865,28554,8,0.92
1749865414366,29055,8,0.91
1749865414865,29554,8,0.93
1749865415366,30055,8,1.03
1749865415865,30554,8,0.86
1749865416365,31054,8,0.90
1749865416865,31554,8,0.91
1749865417365,32054,8,0.96
1749865417865,32554,8,0.94
1749865418365,33054,8,0.93
1749865418865,33554,8,0.91
1749865419365,34054,8,0.95
1749865419865,34554,4,2.08
1749865420366,35055,4,1.64
1749865420865,35554,4,0.91
1749865421365,36054,4,0.90
1749865421865,36554,4,0.92
1749865422365,37054,4,0.90
1749865422865,37554,4,0.90
1749865423365,38054,4,0.89
1749865423865,38554,4,0.89
1749865424365,39054,4,0.94
1749865424866,39555,4,0.89
1749865425366,40055,4,0.93
1749865425866,40555,4,0.88
1749865426366,41055,4,0.88
1749865426866,41555,4,0.89
1749865427366,42055,4,0.91
1749865427866,42555,4,0.89
1749865428365,43054,4,0.91
1749865428865,43554,4,0.93
1749865429366,44055,4,0.88
1749865429866,44555,4,0.90
1749865430366,45055,4,0.90
1749865430867,45556,4,0.91
1749865431367,46056,4,0.92
1749865431867,46556,4,0.89
1749865432367,47056,4,0.93
1749865432867,47556,4,0.89
1749865433367,48056,4,0.89
1749865433867,48556,4,0.91
1749865434367,49056,4,0.91
1749865438452,53141,4,0.91
1749865438952,53641,4,1.03
1749865439452,54141,4,0.95
1749865439952,54641,4,0.89
1749865440453,55142,4,0.89
1749865440953,55642,4,0.92
1749865441452,56141,4,0.93
1749865441953,56642,4,0.91
1749865442453,57142,4,0.91
1749865442953,57642,4,0.91
1749865443453,58142,4,0.92
1749865443953,58642,4,0.91
1749865444454,59143,4,0.90
1749865444954,59643,4,0.91
1749865445455,60144,4,0.88
1749865445955,60644,4,0.91
1749865446455,61144,4,0.88
1749865446956,61645,4,0.92
1749865447456,62145,4,0.92
1749865447956,62645,4,0.88
1749865448456,63145,4,0.90
1749865448956,63645,4,0.92
1749865449456,64145,4,0.90
1749865449957,64646,4,0.91
1749865450456,65145,4,0.94
1749865450957,65646,4,0.91
1749865451457,66146,4,0.89
1749865451957,66646,4,0.91
1749865452456,67145,4,0.90
1749865452956,67645,4,1.17
1749865453457,68146,4,0.90
1749865453956,68645,4,0.90
1749865454456,69145,4,0.89
1749865454956,69645,4,0.91
1749865455456,70145,4,0.93
1749865455956,70645,4,0.92
1749865456457,71146,5,3.16
1749865456956,71645,5,1.51
1749865457456,72145,5,1.98
1749865457956,72645,6,5.22
1749865458457,73146,6,1.89
1749865458957,73646,6,3.68
1749865459457,74146,6,1.34
1749865459957,74646,7,2.61
1749865460457,75146,7,0.97
1749865460957,75646,7,1.05
1749865461457,76146,7,0.94
1749865461957,76646,7,0.99
1749865462457,77146,7,0.96
1749865462958,77647,7,0.94
1749865463458,78147,7,0.94
1749865463957,78646,7,0.99
1749865464457,79146,7,0.92
1749865464957,79646,7,1.01
1749865465457,80146,7,0.96
1749865465957,80646,7,0.93
1749865466457,81146,7,0.90
1749865466957,81646,7,0.91
1749865467457,82146,7,0.90
1749865467957,82646,7,0.92
1749865468457,83146,7,0.92
1749865468958,83647,7,1.05
1749865469458,84147,7,0.90
1749865469958,84647,7,0.90
1749865470458,85147,7,0.95
1749865474541,89230,7,0.88
1749865475041,89730,7,0.88
1749865475541,90230,7,0.90
1749865476041,90730,7,0.86
1749865476541,91230,7,0.95
1749865477041,91730,7,0.88
1749865477541,92230,7,0.93
1749865478041,92730,7,0.85
1749865478541,93230,7,0.94
1749865479041,93730,7,0.90
1749865479541,94230,7,0.84
1749865480041,94730,7,0.85
1749865480541,95230,7,0.96
1749865481041,95730,7,0.86
1749865481540,96229,7,0.87
1749865482041,96730,7,0.89
1749865482541,97230,7,0.86
1749865483041,97730,7,0.91
1749865483541,98230,7,0.92
1749865484042,98731,7,0.91
1749865484541,99230,7,0.97
1749865485042,99731,7,0.90
1749865485543,100232,7,0.92
1749865486043,100732,7,0.90
1749865486543,101232,7,0.88
1749865487043,101732,7,0.86
1749865487542,102231,7,0.90
1749865488043,102732,7,0.88
1749865488543,103232,7,0.97
1749865489044,103733,7,0.86
1749865489544,104233,7,0.90
1749865490044,104733,7,0.88
1749865490544,105233,7,0.94
1749865491044,105733,7,0.90
1749865491544,106233,7,0.94
1749865492044,106733,4,1.95
1749865492544,107233,4,1.95
1749865493044,107733,4,0.90
1749865493544,108233,4,0.90
1749865494044,108733,4,0.89
1749865494544,109233,4,0.91
1749865495045,109734,4,0.92
1749865495545,110234,4,0.91
1749865496045,110734,4,0.89
1749865496545,111234,4,1.10
1749865497045,111734,4,0.95
1749865497545,112234,4,0.90
1749865498045,112734,4,0.90
1749865498545,113234,4,0.90
1749865499045,113734,4,0.93
1749865499545,114234,4,0.93
1749865500046,114735,4,0.91
1749865500546,115235,4,1.00
1749865501046,115735,4,0.92
1749865501547,116236,4,0.95
1749865502047,116736,4,0.95
1749865502547,117236,4,0.88
1749865503048,117737,4,0.88
1749865503548,118237,4,0.95
1749865504048,118737,4,0.88
1749865504548,119237,4,0.98
1749865505050,119739,4,1.69
1749865505550,120239,4,0.93
1749865506049,120738,4,0.94
1749865510135,124824,4,0.90
1749865510634,125323,4,0.92
1749865511136,125825,4,0.87
1749865511636,126325,4,0.90
1749865512136,126825,4,1.02
1749865512636,127325,4,0.89
1749865513136,127825,4,0.91
1749865513636,128325,4,0.94
1749865514136,128825,4,0.89
1749865514636,129325,4,0.89
1749865515136,129825,4,0.89
1749865515636,130325,4,0.87
1749865516136,130825,4,0.94
1749865516636,131325,5,3.57
1749865517136,131825,5,1.27
1749865517636,132325,5,2.12
1749865518136,132825,6,6.02
1749865518636,133325,6,2.99
1749865519136,133825,6,1.71
1749865519636,134325,7,2.60
1749865520136,134825,7,1.31
1749865520635,135324,7,1.00
1749865521136,135825,7,0.98
1749865521637,136326,7,0.96
1749865522137,136826,7,0.98
1749865522637,137326,7,0.99
1749865523137,137826,7,1.02
1749865523637,138326,7,0.96
1749865524138,138827,7,1.06
1749865524638,139327,7,0.94
1749865525138,139827,7,0.97
1749865525638,140327,7,0.90
1749865526138,140827,7,0.94
1749865526638,141327,7,0.92
1749865527138,141827,7,0.93
1749865527639,142328,7,0.92
1749865528138,142827,7,1.04
1749865528638,143327,7,0.90
1749865529138,143827,7,0.91
1749865529638,144327,7,0.92
1749865530138,144827,7,0.90
1749865530638,145327,7,0.97
1749865531138,145827,7,0.90
1749865531638,146327,7,0.91
1749865532138,146827,7,0.96
1749865532639,147328,7,0.92
1749865533138,147827,7,0.90
1749865533639,148328,7,0.93
1749865534139,148828,7,0.91
1749865534639,149328,7,0.92
1749865535139,149828,7,0.91
1749865535640,150329,7,0.99
1749865536140,150829,7,0.98
1749865536640,151329,7,0.93
1749865537140,151829,7,0.90
1749865537640,152329,7,0.91
1749865538140,152829,7,0.91
1749865538639,153328,7,0.90
1749865539140,153829,7,0.92
1749865539640,154329,7,0.95
1749865540140,154829,7,0.94
1749865540640,155329,7,0.92
1749865541140,155829,7,0.86
1749865541640,156329,7,0.88
1749865542140,156829,7,0.89
1749865546225,160914,7,0.89
1749865546725,161414,7,0.89
1749865547225,161914,7,0.89
1749865547725,162414,7,0.92
1749865548225,162914,7,0.90
1749865548724,163413,7,0.90
1749865549225,163914,7,0.93
1749865549725,164414,7,0.93
1749865550225,164914,7,0.90
1749865550725,165414,7,0.91
1749865551225,165914,7,0.93
1749865551725,166414,4,2.05
1749865552225,166914,4,1.56
1749865552724,167413,4,0.93
1749865553224,167913,4,0.86
1749865553725,168414,4,0.85
1749865554226,168915,4,0.84
1749865554726,169415,4,0.92
1749865555226,169915,4,0.89
1749865555726,170415,4,1.04
1749865556226,170915,4,0.91
1749865556727,171416,4,0.90
1749865557227,171916,4,0.93
1749865557727,172416,4,0.93
1749865558227,172916,4,0.95
1749865558726,173415,4,0.93
1749865559227,173916,4,0.90
1749865559727,174416,4,0.97
1749865560227,174916,4,0.91
1749865560726,175415,4,0.92
1749865561227,175916,4,0.94
1749865561727,176416,4,0.90
1749865562227,176916,4,0.93
1749865562727,177416,4,0.93
