timestamp_ms,elapsed_ms,ram_mb,cpu_percent
1749991627736,3019,5,1.51
1749991628234,3517,6,5.40
1749991628734,4017,6,1.57
1749991629234,4517,6,5.94
1749991629734,5017,6,0.99
1749991630234,5517,6,0.99
1749991630734,6017,6,0.95
1749991631235,6518,6,1.01
1749991631735,7018,6,0.96
1749991632235,7518,6,0.96
1749991632735,8018,6,0.89
1749991633235,8518,6,0.92
1749991633735,9018,6,0.93
1749991634235,9518,6,0.91
1749991634735,10018,6,0.89
1749991635235,10518,6,0.91
1749991635735,11018,7,1.01
1749991636236,11519,7,0.95
1749991636735,12018,7,0.91
1749991637235,12518,7,0.89
1749991637735,13018,7,0.89
1749991638235,13518,7,0.94
1749991638735,14018,7,0.89
1749991639235,14518,7,0.92
1749991639735,15018,7,0.90
1749991640235,15518,7,0.91
1749991640735,16018,7,0.92
1749991641235,16518,7,0.94
1749991641735,17018,7,1.10
1749991642235,17518,7,0.96
1749991642735,18018,7,0.93
1749991643235,18518,7,0.93
1749991643735,19018,7,1.10
1749991644235,19518,6,4.37
1749991644735,20018,6,0.90
1749991645235,20518,6,0.94
1749991645736,21019,6,0.90
1749991646236,21519,6,0.92
1749991646735,22018,6,0.93
1749991647235,22518,6,0.90
1749991647736,23019,6,0.90
1749991648236,23519,6,0.98
1749991651667,26950,6,0.93
1749991652167,27450,6,0.91
1749991652668,27951,6,0.88
1749991653167,28450,6,0.93
1749991653667,28950,6,0.92
1749991654167,29450,6,0.95
1749991654667,29950,6,0.91
1749991655167,30450,6,0.90
1749991655667,30950,7,0.88
1749991656167,31450,7,0.90
1749991656667,31950,7,0.89
1749991657167,32450,7,0.93
1749991657667,32950,7,0.91
1749991658167,33450,5,1.92
1749991658668,33951,5,1.67
1749991659168,34451,5,0.91
1749991659668,34951,5,0.90
1749991660169,35452,5,0.92
1749991660669,35952,5,0.89
1749991661169,36452,5,0.89
1749991661669,36952,5,1.17
1749991662170,37453,5,4.93
1749991662671,37954,6,1.28
